id,target,atom1,atom2,s1,p1,d1,f1,occ_s1,occ_p1,occ_d1,occ_f1,valence1,vdw1,ionic1,covalent1,e_neg1,hardness1,group1,row1,top1,sblock1,pblock1,dblock1,fblock1,s2,p2,d2,f2,occ_s2,occ_p2,occ_d2,occ_f2,valence2,vdw2,ionic2,covalent2,e_neg2,hardness2,group2,row2,top2,sblock2,pblock2,dblock2,fblock2,bondlen,n_nbr
mp-714885,0.9011,O,V,-0.871362,-0.338381,0,0,2,4,0,0,6,1.52,1.26,0.66,3.44,4.8,16,2,-0.338381,0,1,0,0,-0.175968,-1.610516,-0.204634,0,2,0,3,0,2,2.07,0.7775,1.53,1.63,0.73,5,4,-0.175968,0,0,1,0,2.199877577,6
mp-19009,2.3009,O,Ni,-0.871362,-0.338381,0,0,2,4,0,0,6,1.52,1.26,0.66,3.44,4.8,16,2,-0.338381,0,1,0,0,-0.210764,-2.594158,-0.348699,0,2,0,8,0,2,1.97,0.74,1.24,1.91,1.7,10,4,-0.210764,0,0,1,0,2.093166626,6
mp-1784,5.2626,F,Cs,-1.086859,-0.415606,0,0,2,5,0,0,7,1.47,0.705,0.57,3.98,7.31,17,2,-0.415606,0,1,0,0,-0.078699,-0.504903,0,0,1,0,0,0,1,3.43,1.81,2.44,0.79,-1.35,1,6,-0.078699,1,0,0,0,3.006139399,6
mp-463,5.9494,F,K,-1.086859,-0.415606,0,0,2,5,0,0,7,1.47,0.705,0.57,3.98,7.31,17,2,-0.415606,0,1,0,0,-0.088815,-0.693776,0,0,1,0,0,0,1,2.75,1.52,2.03,0.82,-0.99,1,4,-0.088815,1,0,0,0,2.654413079,6
mp-286,1.9621,Se,Yb,-0.621248,-0.245806,-2.011392,0,2,4,10,0,6,1.9,1.013333333,1.2,2.55,3.09,16,4,-0.245806,0,1,0,0,-0.136989,-0.966137,0,-0.286408,2,0,0,14,2,2.26,1.084,1.87,1.1,-0.19,3,6,-0.136989,0,0,0,1,2.925044876,6
mp-1876,0.1031,S,Sn,-0.630912,-0.261676,0,0,2,4,0,0,6,1.8,0.88,1.05,2.58,3.31,16,3,-0.261676,0,1,0,0,-0.369349,-0.14445,-1.004952,0,2,2,10,0,4,2.17,0.83,1.39,1.96,1.27,14,5,-0.14445,0,1,0,0,2.905303815,6
mp-22905,6.219,Cl,Li,-0.754458,-0.32038,0,0,2,5,0,0,7,1.75,0.78,1.02,3.16,5.37,17,3,-0.32038,0,1,0,0,-0.10554,0,0,0,1,0,0,0,1,1.82,0.9,1.28,0.98,0.06,1,2,-0.10554,1,0,0,0,2.542122237,6
mp-22919,0.7684,I,Ag,-0.596339,-0.267904,-1.938179,0,2,5,10,0,7,1.98,1.273333333,1.39,2.66,3.82,17,5,-0.267904,0,1,0,0,-0.157407,-2.086602,-0.298706,0,1,0,10,0,1,2.11,1.086666667,1.45,1.93,1.31,11,5,-0.157407,0,0,1,0,3.084499998,6
mp-2605,3.6301,O,Ca,-0.871362,-0.338381,0,0,2,4,0,0,6,1.52,1.26,0.66,3.44,4.8,16,2,-0.338381,0,1,0,0,-0.141411,-1.030572,0,0,2,0,0,0,2,2.31,1.14,1.76,1,0.04,2,4,-0.141411,1,0,0,0,2.403555551,6
mp-1958,1.7616,Te,Sr,-0.520997,-0.226594,-1.608381,0,2,4,10,0,6,2.06,1.293333333,1.38,2.1,2.58,16,5,-0.226594,0,1,0,0,-0.131793,-0.844489,0,0,2,0,0,0,2,2.49,1.32,1.95,0.95,-0.18,2,5,-0.131793,1,0,0,0,3.355835274,6
